time,P
20230113:0210,0.0
20230113:0310,0.0
20230113:0410,0.0
20230113:0510,0.0
20230113:0610,0.0
20230113:0710,0.0
20230113:0810,81.54
20230113:0910,139.48
20230113:1010,453.67
20230113:1110,409.01
20230113:1210,529.45
20230113:1310,502.8
20230113:1410,427.2
20230113:1510,289.19
20230113:1610,85.89
20230113:1710,0.0
20230113:1810,0.0
20230113:1910,0.0
20230113:2010,0.0
20230113:2110,0.0
20230113:2210,0.0
20230113:2310,0.0
20230114:0010,0.0
20230114:0110,0.0
20230114:0210,0.0
20230114:0310,0.0
20230114:0410,0.0
20230114:0510,0.0
20230114:0610,0.0
20230114:0710,0.0
20230114:0810,83.68
20230114:0910,271.19
20230114:1010,405.43
20230114:1110,464.52
20230114:1210,563.75
20230114:1310,521.58
20230114:1410,434.82
20230114:1510,281.53
20230114:1610,66.61
20230114:1710,0.0
20230114:1810,0.0
20230114:1910,0.0
20230114:2010,0.0
20230114:2110,0.0
20230114:2210,0.0
20230114:2310,0.0
20230115:0010,0.0
20230115:0110,0.0
20230115:0210,0.0
20230115:0310,0.0
20230115:0410,0.0
20230115:0510,0.0
20230115:0610,0.0
20230115:0710,0.0
20230115:0810,80.94
20230115:0910,80.71
20230115:1010,418.89
20230115:1110,423.41
20230115:1210,454.13
20230115:1310,244.35
20230115:1410,195.97
20230115:1510,33.98
20230115:1610,41.57
20230115:1710,0.0
20230115:1810,0.0
20230115:1910,0.0
20230115:2010,0.0
20230115:2110,0.0
20230115:2210,0.0
20230115:2310,0.0
20230116:0010,0.0
20230116:0110,0.0
20230116:0210,0.0
20230116:0310,0.0
20230116:0410,0.0
20230116:0510,0.0
20230116:0610,0.0
20230116:0710,0.0
20230116:0810,97.7
20230116:0910,299.49
20230116:1010,390.79
20230116:1110,501.22
20230116:1210,467.08
20230116:1310,360.26
20230116:1410,212.87
20230116:1510,52.81
20230116:1610,92.87
20230116:1710,0.0
20230116:1810,0.0
20230116:1910,0.0
20230116:2010,0.0
20230116:2110,0.0
20230116:2210,0.0
20230116:2310,0.0
20230117:0010,0.0
20230117:0110,0.0
20230117:0210,0.0
20230117:0310,0.0
20230117:0410,0.0
20230117:0510,0.0
20230117:0610,0.0
20230117:0710,0.0
20230117:0810,2.29
20230117:0910,306.89
20230117:1010,456.62
20230117:1110,545.32
20230117:1210,568.05
20230117:1310,535.41
20230117:1410,454.57
20230117:1510,317.68
20230117:1610,107.46
20230117:1710,0.0
20230117:1810,0.0
20230117:1910,0.0
20230117:2010,0.0
20230117:2110,0.0
20230117:2210,0.0
20230117:2310,0.0
20230118:0010,0.0
20230118:0110,0.0
20230118:0210,0.0
20230118:0310,0.0
20230118:0410,0.0
20230118:0510,0.0
20230118:0610,0.0
20230118:0710,0.0
20230118:0810,64.95
20230118:0910,324.24
20230118:1010,353.08
20230118:1110,540.75
20230118:1210,276.98
20230118:1310,110.75
20230118:1410,492.5
20230118:1510,337.71
20230118:1610,125.64
20230118:1710,0.0
20230118:1810,0.0
20230118:1910,0.0
20230118:2010,0.0
20230118:2110,0.0
20230118:2210,0.0
20230118:2310,0.0
20230119:0010,0.0
20230119:0110,0.0
20230119:0210,0.0
20230119:0310,0.0
20230119:0410,0.0
20230119:0510,0.0
20230119:0610,0.0
20230119:0710,0.0
20230119:0810,123.1
20230119:0910,311.77
20230119:1010,453.95
20230119:1110,552.73
20230119:1210,578.53
20230119:1310,556.98
20230119:1410,473.26
20230119:1510,347.08
20230119:1610,109.65
20230119:1710,0.0
20230119:1810,0.0
20230119:1910,0.0
20230119:2010,0.0
20230119:2110,0.0
20230119:2210,0.0
20230119:2310,0.0
20230120:0010,0.0
20230120:0110,0.0
20230120:0210,0.0
20230120:0310,0.0
20230120:0410,0.0
20230120:0510,0.0
20230120:0610,0.0
20230120:0710,0.0
20230120:0810,121.15
20230120:0910,300.38
20230120:1010,437.45
20230120:1110,547.37
20230120:1210,581.21
20230120:1310,557.06
20230120:1410,488.66
20230120:1510,333.7
20230120:1610,126.09
20230120:1710,0.0
20230120:1810,0.0
20230120:1910,0.0
20230120:2010,0.0
20230120:2110,0.0
20230120:2210,0.0
20230120:2310,0.0
20230121:0010,0.0
20230121:0110,0.0
20230121:0210,0.0
20230121:0310,0.0
20230121:0410,0.0
