time,P
20230222:2310,0.0
20230223:0010,0.0
20230223:0110,0.0
20230223:0210,0.0
20230223:0310,0.0
20230223:0410,0.0
20230223:0510,0.0
20230223:0610,0.0
20230223:0710,13.53
20230223:0810,94.36
20230223:0910,65.0
20230223:1010,164.21
20230223:1110,96.24
20230223:1210,71.25
20230223:1310,51.59
20230223:1410,58.06
20230223:1510,53.29
20230223:1610,10.68
20230223:1710,0.0
20230223:1810,0.0
20230223:1910,0.0
20230223:2010,0.0
20230223:2110,0.0
20230223:2210,0.0
20230223:2310,0.0
20230224:0010,0.0
20230224:0110,0.0
20230224:0210,0.0
20230224:0310,0.0
20230224:0410,0.0
20230224:0510,0.0
20230224:0610,0.0
20230224:0710,24.32
20230224:0810,225.37
20230224:0910,423.75
20230224:1010,571.15
20230224:1110,667.85
20230224:1210,661.18
20230224:1310,656.24
20230224:1410,590.36
20230224:1510,258.66
20230224:1610,130.57
20230224:1710,4.43
20230224:1810,0.0
20230224:1910,0.0
20230224:2010,0.0
20230224:2110,0.0
20230224:2210,0.0
20230224:2310,0.0
20230225:0010,0.0
20230225:0110,0.0
20230225:0210,0.0
20230225:0310,0.0
20230225:0410,0.0
20230225:0510,0.0
20230225:0610,0.0
20230225:0710,24.1
20230225:0810,56.3
20230225:0910,106.89
20230225:1010,87.66
20230225:1110,156.54
20230225:1210,304.79
20230225:1310,172.53
20230225:1410,139.84
20230225:1510,270.66
20230225:1610,106.52
20230225:1710,0.0
20230225:1810,0.0
20230225:1910,0.0
20230225:2010,0.0
20230225:2110,0.0
20230225:2210,0.0
20230225:2310,0.0
20230226:0010,0.0
20230226:0110,0.0
20230226:0210,0.0
20230226:0310,0.0
20230226:0410,0.0
20230226:0510,0.0
20230226:0610,0.0
20230226:0710,14.29
20230226:0810,71.79
20230226:0910,201.8
20230226:1010,247.75
20230226:1110,465.11
20230226:1210,577.71
20230226:1310,549.71
20230226:1410,174.08
20230226:1510,276.08
20230226:1610,75.58
20230226:1710,1.82
20230226:1810,0.0
20230226:1910,0.0
20230226:2010,0.0
20230226:2110,0.0
20230226:2210,0.0
20230226:2310,0.0
20230227:0010,0.0
20230227:0110,0.0
20230227:0210,0.0
20230227:0310,0.0
20230227:0410,0.0
20230227:0510,0.0
20230227:0610,0.0
20230227:0710,24.48
20230227:0810,60.91
20230227:0910,163.05
20230227:1010,605.25
20230227:1110,686.89
20230227:1210,555.87
20230227:1310,598.66
20230227:1410,208.07
20230227:1510,104.74
20230227:1610,41.44
20230227:1710,4.6
20230227:1810,0.0
20230227:1910,0.0
20230227:2010,0.0
20230227:2110,0.0
20230227:2210,0.0
20230227:2310,0.0
20230228:0010,0.0
20230228:0110,0.0
20230228:0210,0.0
20230228:0310,0.0
20230228:0410,0.0
20230228:0510,0.0
20230228:0610,0.0
20230228:0710,39.56
20230228:0810,129.28
20230228:0910,207.59
20230228:1010,172.2
20230228:1110,245.17
20230228:1210,374.32
20230228:1310,350.19
20230228:1410,400.33
20230228:1510,469.4
20230228:1610,278.62
20230228:1710,53.06
20230228:1810,0.0
20230228:1910,0.0
20230228:2010,0.0
20230228:2110,0.0
20230228:2210,0.0
20230228:2310,0.0
20230301:0010,0.0
20230301:0110,0.0
20230301:0210,0.0
20230301:0310,0.0
20230301:0410,0.0
20230301:0510,0.0
20230301:0610,0.0
20230301:0710,45.55
20230301:0810,250.27
20230301:0910,437.95
20230301:1010,578.88
20230301:1110,670.47
20230301:1210,659.76
20230301:1310,702.4
20230301:1410,616.51
20230301:1510,482.51
20230301:1610,293.59
20230301:1710,59.68
20230301:1810,0.0
20230301:1910,0.0
20230301:2010,0.0
20230301:2110,0.0
20230301:2210,0.0
20230301:2310,0.0
20230302:0010,0.0
20230302:0110,0.0
20230302:0210,0.0
20230302:0310,0.0
20230302:0410,0.0
20230302:0510,0.0
20230302:0610,0.0
20230302:0710,27.83
20230302:0810,144.16
20230302:0910,247.65
20230302:1010,279.65
20230302:1110,397.8
20230302:1210,611.54
20230302:1310,666.23
20230302:1410,450.17
20230302:1510,267.96
20230302:1610,209.67
20230302:1710,55.07
20230302:1810,0.0
20230302:1910,0.0
20230302:2010,0.0
20230302:2110,0.0
20230302:2210,0.0
20230302:2310,0.0
20230303:0010,0.0
20230303:0110,0.0
20230303:0210,0.0
20230303:0310,0.0
20230303:0410,0.0
20230303:0510,0.0
20230303:0610,0.0
20230303:0710,50.14
20230303:0810,250.93
20230303:0910,432.72
20230303:1010,578.75
20230303:1110,661.33
20230303:1210,587.78
20230303:1310,678.65
20230303:1410,602.94
20230303:1510,475.21
20230303:1610,284.99
20230303:1710,57.46
20230303:1810,0.0
20230303:1910,0.0
20230303:2010,0.0
20230303:2110,0.0
20230303:2210,0.0
20230303:2310,0.0
20230304:0010,0.0
20230304:0110,0.0
20230304:0210,0.0
20230304:0310,0.0
20230304:0410,0.0
20230304:0510,0.0
20230304:0610,0.0
20230304:0710,53.4
20230304:0810,256.11
20230304:0910,442.33
20230304:1010,578.5
20230304:1110,654.97
20230304:1210,615.5
20230304:1310,684.45
20230304:1410,604.92
20230304:1510,474.47
20230304:1610,287.24
20230304:1710,63.18
20230304:1810,0.0
20230304:1910,0.0
20230304:2010,0.0
20230304:2110,0.0
20230304:2210,0.0
20230304:2310,0.0
20230305:0010,0.0
20230305:0110,0.0
20230305:0210,0.0
20230305:0310,0.0
20230305:0410,0.0
20230305:0510,0.0
20230305:0610,0.0
20230305:0710,58.0
20230305:0810,262.34
20230305:0910,445.19
20230305:1010,587.13
20230305:1110,681.28
20230305:1210,670.24
20230305:1310,704.28
20230305:1410,620.68
20230305:1510,484.1
20230305:1610,302.18
20230305:1710,78.78
20230305:1810,0.0
20230305:1910,0.0
20230305:2010,0.0
20230305:2110,0.0
20230305:2210,0.0
20230305:2310,0.0
20230306:0010,0.0
20230306:0110,0.0
20230306:0210,0.0
20230306:0310,0.0
20230306:0410,0.0
20230306:0510,0.0
20230306:0610,0.0
20230306:0710,40.56
20230306:0810,87.64
20230306:0910,152.31
20230306:1010,412.82
20230306:1110,656.58
20230306:1210,628.21
20230306:1310,661.18
20230306:1410,522.21
20230306:1510,351.92
20230306:1610,136.96
20230306:1710,70.15
20230306:1810,0.0
20230306:1910,0.0
20230306:2010,0.0
20230306:2110,0.0
20230306:2210,0.0
20230306:2310,0.0
20230307:0010,0.0
20230307:0110,0.0
20230307:0210,0.0
20230307:0310,0.0
20230307:0410,0.0
20230307:0510,0.0
20230307:0610,0.0
20230307:0710,62.5
20230307:0810,260.2
20230307:0910,424.16
20230307:1010,497.3
20230307:1110,659.23
20230307:1210,136.05
20230307:1310,299.95
20230307:1410,413.82
20230307:1510,450.09
20230307:1610,262.63
20230307:1710,59.91
20230307:1810,0.0
20230307:1910,0.0
20230307:2010,0.0
20230307:2110,0.0
20230307:2210,0.0
20230307:2310,0.0
20230308:0010,0.0
20230308:0110,0.0
20230308:0210,0.0
20230308:0310,0.0
20230308:0410,0.0
20230308:0510,0.0
20230308:0610,0.0
20230308:0710,32.85
20230308:0810,139.66
20230308:0910,436.56
20230308:1010,562.68
20230308:1110,605.77
20230308:1210,665.58
20230308:1310,464.4
20230308:1410,370.48
20230308:1510,410.44
20230308:1610,161.75
20230308:1710,46.79
20230308:1810,0.0
20230308:1910,0.0
20230308:2010,0.0
20230308:2110,0.0
20230308:2210,0.0
20230308:2310,0.0
20230309:0010,0.0
20230309:0110,0.0
20230309:0210,0.0
20230309:0310,0.0
20230309:0410,0.0
20230309:0510,0.0
20230309:0610,0.0
20230309:0710,7.46
20230309:0810,33.94
20230309:0910,46.0
20230309:1010,60.25
20230309:1110,203.4
20230309:1210,368.74
20230309:1310,553.61
20230309:1410,480.6
20230309:1510,477.88
20230309:1610,282.47
20230309:1710,78.55
20230309:1810,0.0
20230309:1910,0.0
20230309:2010,0.0
20230309:2110,0.0
20230309:2210,0.0
20230309:2310,0.0
20230310:0010,0.0
20230310:0110,0.0
20230310:0210,0.0
20230310:0310,0.0
20230310:0410,0.0
20230310:0510,0.0
20230310:0610,0.0
20230310:0710,68.26
20230310:0810,254.29
20230310:0910,451.14
20230310:1010,596.27
20230310:1110,674.98
20230310:1210,698.17
20230310:1310,686.53
20230310:1410,603.91
20230310:1510,300.42
20230310:1610,282.34
20230310:1710,75.44
20230310:1810,0.0
20230310:1910,0.0
20230310:2010,0.0
20230310:2110,0.0
20230310:2210,0.0
20230310:2310,0.0
20230311:0010,0.0
20230311:0110,0.0
20230311:0210,0.0
20230311:0310,0.0
20230311:0410,0.0
20230311:0510,0.0
20230311:0610,0.0
20230311:0710,71.89
20230311:0810,263.02
20230311:0910,438.75
20230311:1010,514.3
20230311:1110,595.69
20230311:1210,681.37
20230311:1310,668.24
20230311:1410,273.22
20230311:1510,438.85
20230311:1610,287.13
20230311:1710,73.07
20230311:1810,0.0
20230311:1910,0.0
20230311:2010,0.0
20230311:2110,0.0
20230311:2210,0.0
20230311:2310,0.0
20230312:0010,0.0
20230312:0110,0.0
20230312:0210,0.0
20230312:0310,0.0
20230312:0410,0.0
20230312:0510,0.0
20230312:0610,0.0
20230312:0710,77.07
20230312:0810,267.13
20230312:0910,435.7
20230312:1010,568.78
20230312:1110,649.92
20230312:1210,677.38
20230312:1310,665.89
20230312:1410,605.02
20230312:1510,487.11
20230312:1610,290.61
20230312:1710,78.37
20230312:1810,0.0
20230312:1910,0.0
20230312:2010,0.0
20230312:2110,0.0
20230312:2210,0.0
20230312:2310,0.0
20230313:0010,0.0
20230313:0110,0.0
20230313:0210,0.0
20230313:0310,0.0
20230313:0410,0.0
20230313:0510,0.0
20230313:0610,0.0
20230313:0710,34.03
20230313:0810,270.27
20230313:0910,446.72
20230313:1010,571.93
20230313:1110,656.55
20230313:1210,698.26
20230313:1310,685.89
20230313:1410,456.85
20230313:1510,311.48
20230313:1610,167.29
20230313:1710,37.07
20230313:1810,0.0
20230313:1910,0.0
20230313:2010,0.0
20230313:2110,0.0
20230313:2210,0.0
20230313:2310,0.0
20230314:0010,0.0
20230314:0110,0.0
20230314:0210,0.0
20230314:0310,0.0
20230314:0410,0.0
20230314:0510,0.0
20230314:0610,0.0
20230314:0710,86.88
20230314:0810,295.02
20230314:0910,481.02
20230314:1010,622.3
20230314:1110,686.3
20230314:1210,749.74
20230314:1310,701.38
20230314:1410,619.6
20230314:1510,482.96
20230314:1610,292.27
20230314:1710,94.55
20230314:1810,0.0
20230314:1910,0.0
20230314:2010,0.0
20230314:2110,0.0
20230314:2210,0.0
20230314:2310,0.0
20230315:0010,0.0
20230315:0110,0.0
20230315:0210,0.0
20230315:0310,0.0
20230315:0410,0.0
20230315:0510,0.0
20230315:0610,0.0
20230315:0710,84.29
20230315:0810,283.89
20230315:0910,456.61
20230315:1010,600.7
20230315:1110,689.75
20230315:1210,725.52
20230315:1310,640.05
20230315:1410,557.31
20230315:1510,488.76
20230315:1610,303.16
20230315:1710,93.74
20230315:1810,0.0
20230315:1910,0.0
20230315:2010,0.0
20230315:2110,0.0
20230315:2210,0.0
20230315:2310,0.0
20230316:0010,0.0
20230316:0110,0.0
20230316:0210,0.0
20230316:0310,0.0
20230316:0410,0.0
20230316:0510,0.0
20230316:0610,0.0
20230316:0710,93.85
20230316:0810,296.84
20230316:0910,470.35
20230316:1010,606.32
20230316:1110,695.67
20230316:1210,742.21
20230316:1310,708.8
20230316:1410,630.64
20230316:1510,504.05
20230316:1610,324.48
20230316:1710,101.98
20230316:1810,0.0
20230316:1910,0.0
20230316:2010,0.0
20230316:2110,0.0
20230316:2210,0.0
20230316:2310,0.0
20230317:0010,0.0
20230317:0110,0.0
20230317:0210,0.0
20230317:0310,0.0
20230317:0410,0.0
20230317:0510,0.0
20230317:0610,0.0
20230317:0710,94.65
20230317:0810,165.13
20230317:0910,195.66
20230317:1010,285.44
20230317:1110,259.83
20230317:1210,548.2
20230317:1310,657.48
20230317:1410,143.14
20230317:1510,287.39
20230317:1610,264.2
20230317:1710,52.02
20230317:1810,0.0
20230317:1910,0.0
20230317:2010,0.0
20230317:2110,0.0
20230317:2210,0.0
20230317:2310,0.0
20230318:0010,0.0
20230318:0110,0.0
20230318:0210,0.0
20230318:0310,0.0
20230318:0410,0.0
20230318:0510,0.0
20230318:0610,0.0
20230318:0710,58.79
20230318:0810,246.91
20230318:0910,312.93
20230318:1010,290.66
20230318:1110,262.45
20230318:1210,412.63
20230318:1310,658.53
20230318:1410,404.66
20230318:1510,397.08
20230318:1610,310.38
20230318:1710,98.92
20230318:1810,0.0
20230318:1910,0.0
20230318:2010,0.0
20230318:2110,0.0
20230318:2210,0.0
20230318:2310,0.0
20230319:0010,0.0
20230319:0110,0.0
20230319:0210,0.0
20230319:0310,0.0
20230319:0410,0.0
20230319:0510,0.0
20230319:0610,0.0
20230319:0710,50.89
20230319:0810,200.4
20230319:0910,440.44
20230319:1010,587.99
20230319:1110,638.09
20230319:1210,651.43
20230319:1310,692.4
20230319:1410,623.98
20230319:1510,503.41
20230319:1610,311.98
20230319:1710,104.73
20230319:1810,0.0
20230319:1910,0.0
20230319:2010,0.0
20230319:2110,0.0
20230319:2210,0.0
20230319:2310,0.0
20230320:0010,0.0
20230320:0110,0.0
20230320:0210,0.0
20230320:0310,0.0
20230320:0410,0.0
20230320:0510,0.0
20230320:0610,0.0
20230320:0710,108.11
20230320:0810,313.88
20230320:0910,490.05
20230320:1010,627.43
20230320:1110,695.98
20230320:1210,743.97
20230320:1310,710.12
20230320:1410,610.66
20230320:1510,484.31
20230320:1610,312.69
20230320:1710,88.19
20230320:1810,0.0
20230320:1910,0.0
20230320:2010,0.0
20230320:2110,0.0
20230320:2210,0.0
20230320:2310,0.0
20230321:0010,0.0
20230321:0110,0.0
20230321:0210,0.0
20230321:0310,0.0
20230321:0410,0.0
20230321:0510,0.0
20230321:0610,0.0
20230321:0710,0.0
20230321:0810,0.0
20230321:0910,426.55
20230321:1010,592.13
20230321:1110,647.19
20230321:1210,692.2
20230321:1310,623.64
20230321:1410,357.51
20230321:1510,452.5
20230321:1610,299.97
20230321:1710,54.27
20230321:1810,0.0
20230321:1910,0.0
20230321:2010,0.0
20230321:2110,0.0
20230321:2210,0.0
20230321:2310,0.0
20230322:0010,0.0
20230322:0110,0.0
20230322:0210,0.0
20230322:0310,0.0
20230322:0410,0.0
20230322:0510,0.0
20230322:0610,0.86
20230322:0710,0.0
20230322:0810,298.31
20230322:0910,496.54
20230322:1010,625.39
20230322:1110,716.14
20230322:1210,766.13
20230322:1310,725.15
20230322:1410,639.52
20230322:1510,490.46
20230322:1610,339.21
20230322:1710,90.75
20230322:1810,0.0
20230322:1910,0.0
20230322:2010,0.0
20230322:2110,0.0
20230322:2210,0.0
20230322:2310,0.0
20230323:0010,0.0
20230323:0110,0.0
20230323:0210,0.0
20230323:0310,0.0
20230323:0410,0.0
20230323:0510,0.0
20230323:0610,2.27
20230323:0710,118.29
20230323:0810,316.38
20230323:0910,495.48
20230323:1010,630.97
20230323:1110,711.84
20230323:1210,760.3
20230323:1310,677.83
20230323:1410,632.38
20230323:1510,506.15
20230323:1610,331.8
20230323:1710,117.21
20230323:1810,0.0
20230323:1910,0.0
20230323:2010,0.0
20230323:2110,0.0
20230323:2210,0.0
20230323:2310,0.0
20230324:0010,0.0
20230324:0110,0.0
20230324:0210,0.0
20230324:0310,0.0
20230324:0410,0.0
20230324:0510,0.0
20230324:0610,1.32
20230324:0710,123.38
20230324:0810,322.52
20230324:0910,384.84
20230324:1010,619.86
20230324:1110,623.39
20230324:1210,603.63
20230324:1310,384.88
20230324:1410,192.38
20230324:1510,155.88
20230324:1610,98.27
20230324:1710,51.69
20230324:1810,0.0
20230324:1910,0.0
20230324:2010,0.0
20230324:2110,0.0
20230324:2210,0.0
20230324:2310,0.0
20230325:0010,0.0
20230325:0110,0.0
20230325:0210,0.0
20230325:0310,0.0
20230325:0410,0.0
20230325:0510,0.0
20230325:0610,4.93
20230325:0710,122.88
20230325:0810,311.79
20230325:0910,507.62
20230325:1010,583.23
20230325:1110,698.68
20230325:1210,742.35
20230325:1310,443.84
20230325:1410,489.4
20230325:1510,538.72
20230325:1610,277.85
20230325:1710,88.12
20230325:1810,0.0
20230325:1910,0.0
20230325:2010,0.0
20230325:2110,0.0
20230325:2210,0.0
20230325:2310,0.0
20230326:0010,0.0
20230326:0110,0.0
20230326:0210,0.0
20230326:0310,0.0
20230326:0410,0.0
20230326:0510,0.0
20230326:0610,6.19
20230326:0710,120.29
20230326:0810,301.17
20230326:0910,454.09
20230326:1010,646.71
20230326:1110,643.19
20230326:1210,771.21
20230326:1310,709.8
20230326:1410,633.8
20230326:1510,502.12
20230326:1610,337.15
20230326:1710,123.56
20230326:1810,0.0
20230326:1910,0.0
20230326:2010,0.0
20230326:2110,0.0
20230326:2210,0.0
20230326:2310,0.0
20230327:0010,0.0
20230327:0110,0.0
20230327:0210,0.0
20230327:0310,0.0
20230327:0410,0.0
20230327:0510,0.0
20230327:0610,8.0
20230327:0710,140.85
20230327:0810,347.84
20230327:0910,518.38
20230327:1010,642.26
20230327:1110,720.91
20230327:1210,772.2
20230327:1310,749.45
20230327:1410,662.24
20230327:1510,534.1
20230327:1610,352.37
20230327:1710,136.09
20230327:1810,0.0
20230327:1910,0.0
20230327:2010,0.0
20230327:2110,0.0
20230327:2210,0.0
20230327:2310,0.0
20230328:0010,0.0
20230328:0110,0.0
20230328:0210,0.0
20230328:0310,0.0
20230328:0410,0.0
20230328:0510,0.0
20230328:0610,2.3
20230328:0710,43.08
20230328:0810,144.45
20230328:0910,234.42
20230328:1010,392.64
20230328:1110,277.44
20230328:1210,629.69
20230328:1310,613.84
20230328:1410,637.85
20230328:1510,507.36
20230328:1610,353.68
20230328:1710,131.53
20230328:1810,0.0
20230328:1910,0.0
20230328:2010,0.0
20230328:2110,0.0
20230328:2210,0.0
20230328:2310,0.0
20230329:0010,0.0
20230329:0110,0.0
20230329:0210,0.0
20230329:0310,0.0
20230329:0410,0.0
20230329:0510,0.0
20230329:0610,9.98
20230329:0710,146.6
20230329:0810,354.48
20230329:0910,516.26
20230329:1010,662.11
20230329:1110,738.42
20230329:1210,785.9
20230329:1310,754.15
20230329:1410,660.42
20230329:1510,517.19
20230329:1610,322.64
20230329:1710,132.86
20230329:1810,0.0
20230329:1910,0.0
20230329:2010,0.0
20230329:2110,0.0
20230329:2210,0.0
20230329:2310,0.0
20230330:0010,0.0
20230330:0110,0.0
20230330:0210,0.0
20230330:0310,0.0
20230330:0410,0.0
20230330:0510,0.0
20230330:0610,0.92
20230330:0710,93.29
20230330:0810,349.5
20230330:0910,521.71
20230330:1010,638.67
20230330:1110,541.94
20230330:1210,745.91
20230330:1310,710.41
20230330:1410,342.37
20230330:1510,237.58
20230330:1610,357.91
20230330:1710,139.4
20230330:1810,0.0
20230330:1910,0.0
20230330:2010,0.0
20230330:2110,0.0
20230330:2210,0.0
20230330:2310,0.0
20230331:0010,0.0
20230331:0110,0.0
20230331:0210,0.0
20230331:0310,0.0
20230331:0410,0.0
20230331:0510,0.0
20230331:0610,8.03
20230331:0710,131.1
20230331:0810,324.41
20230331:0910,502.1
20230331:1010,635.43
20230331:1110,698.71
20230331:1210,642.26
20230331:1310,392.36
20230331:1410,478.85
20230331:1510,506.88
20230331:1610,297.94
20230331:1710,116.83
20230331:1810,0.0
20230331:1910,0.0
20230331:2010,0.0
20230331:2110,0.0
20230331:2210,0.0
20230331:2310,0.0
20230401:0010,0.0
20230401:0110,0.0
20230401:0210,0.0
20230401:0310,0.0
20230401:0410,0.0
20230401:0510,0.0
20230401:0610,2.3
20230401:0710,26.51
20230401:0810,69.09
20230401:0910,172.33
20230401:1010,631.18
20230401:1110,722.93
20230401:1210,749.82
20230401:1310,688.48
20230401:1410,596.73
20230401:1510,504.88
20230401:1610,350.23
20230401:1710,137.54
20230401:1810,0.0
20230401:1910,0.0
20230401:2010,0.0
20230401:2110,0.0
20230401:2210,0.0
20230401:2310,0.0
20230402:0010,0.0
20230402:0110,0.0
20230402:0210,0.0
20230402:0310,0.0
20230402:0410,0.0
20230402:0510,0.0
20230402:0610,13.41
20230402:0710,167.96
20230402:0810,379.96
20230402:0910,560.31
20230402:1010,687.24
20230402:1110,762.14
20230402:1210,775.17
20230402:1310,675.77
20230402:1410,605.24
20230402:1510,343.11
20230402:1610,369.39
20230402:1710,127.01
20230402:1810,0.0
20230402:1910,0.0
20230402:2010,0.0
20230402:2110,0.0
20230402:2210,0.0
20230402:2310,0.0
20230403:0010,0.0
20230403:0110,0.0
20230403:0210,0.0
20230403:0310,0.0
20230403:0410,0.0
20230403:0510,0.0
20230403:0610,15.8
20230403:0710,169.01
20230403:0810,370.73
20230403:0910,529.5
20230403:1010,651.71
20230403:1110,739.72
20230403:1210,779.3
20230403:1310,528.67
20230403:1410,673.99
20230403:1510,548.87
20230403:1610,362.65
20230403:1710,149.65
20230403:1810,0.0
20230403:1910,0.0
20230403:2010,0.0
20230403:2110,0.0
20230403:2210,0.0
20230403:2310,0.0
20230404:0010,0.0
20230404:0110,0.0
20230404:0210,0.0
20230404:0310,0.0
20230404:0410,0.0
20230404:0510,0.0
20230404:0610,16.63
20230404:0710,174.48
20230404:0810,376.88
20230404:0910,553.19
20230404:1010,474.56
20230404:1110,607.06
20230404:1210,753.77
20230404:1310,771.96
20230404:1410,680.59
20230404:1510,147.64
20230404:1610,289.55
20230404:1710,156.4
20230404:1810,0.0
20230404:1910,0.0
20230404:2010,0.0
20230404:2110,0.0
20230404:2210,0.0
20230404:2310,0.0
20230405:0010,0.0
20230405:0110,0.0
20230405:0210,0.0
20230405:0310,0.0
20230405:0410,0.0
20230405:0510,0.0
20230405:0610,18.66
20230405:0710,179.91
20230405:0810,384.26
20230405:0910,551.98
20230405:1010,671.21
20230405:1110,763.46
20230405:1210,806.66
20230405:1310,772.5
20230405:1410,695.29
20230405:1510,561.03
20230405:1610,359.55
20230405:1710,149.88
20230405:1810,0.0
20230405:1910,0.0
20230405:2010,0.0
20230405:2110,0.0
20230405:2210,0.0
20230405:2310,0.0
20230406:0010,0.0
20230406:0110,0.0
20230406:0210,0.0
20230406:0310,0.0
20230406:0410,0.0
20230406:0510,0.0
20230406:0610,19.53
20230406:0710,172.0
20230406:0810,321.82
20230406:0910,494.21
20230406:1010,538.01
20230406:1110,567.63
20230406:1210,644.77
20230406:1310,665.74
20230406:1410,680.14
20230406:1510,545.73
20230406:1610,357.04
20230406:1710,149.82
20230406:1810,0.0
20230406:1910,0.0
20230406:2010,0.0
20230406:2110,0.0
20230406:2210,0.0
20230406:2310,0.0
20230407:0010,0.0
20230407:0110,0.0
20230407:0210,0.0
20230407:0310,0.0
20230407:0410,0.0
20230407:0510,0.0
20230407:0610,23.15
20230407:0710,182.78
20230407:0810,380.17
20230407:0910,552.95
20230407:1010,683.1
20230407:1110,764.88
20230407:1210,800.08
20230407:1310,769.04
20230407:1410,682.46
20230407:1510,546.24
20230407:1610,355.47
20230407:1710,152.47
20230407:1810,0.0
20230407:1910,0.0
20230407:2010,0.0
20230407:2110,0.0
20230407:2210,0.0
20230407:2310,0.0
20230408:0010,0.0
20230408:0110,0.0
20230408:0210,0.0
20230408:0310,0.0
20230408:0410,0.0
20230408:0510,0.0
20230408:0610,29.9
20230408:0710,186.95
20230408:0810,387.44
20230408:0910,559.96
20230408:1010,686.88
20230408:1110,769.21
20230408:1210,799.44
20230408:1310,771.6
20230408:1410,686.09
20230408:1510,548.75
20230408:1610,363.39
20230408:1710,158.53
20230408:1810,0.0
20230408:1910,0.0
20230408:2010,0.0
20230408:2110,0.0
20230408:2210,0.0
20230408:2310,0.0
20230409:0010,0.0
20230409:0110,0.0
20230409:0210,0.0
20230409:0310,0.0
20230409:0410,0.0
20230409:0510,0.0
20230409:0610,32.25
20230409:0710,133.76
20230409:0810,348.18
20230409:0910,528.77
20230409:1010,661.42
20230409:1110,722.03
20230409:1210,770.9
20230409:1310,618.0
20230409:1410,675.97
20230409:1510,519.83
20230409:1610,268.04
20230409:1710,160.24
20230409:1810,0.0
20230409:1910,0.0
20230409:2010,0.0
20230409:2110,0.0
20230409:2210,0.0
20230409:2310,0.0
20230410:0010,0.0
20230410:0110,0.0
20230410:0210,0.0
20230410:0310,0.0
20230410:0410,0.0
20230410:0510,0.0
20230410:0610,14.99
20230410:0710,122.65
20230410:0810,272.18
20230410:0910,409.18
20230410:1010,433.43
20230410:1110,479.31
20230410:1210,757.24
20230410:1310,650.97
20230410:1410,635.3
20230410:1510,438.11
20230410:1610,303.73
20230410:1710,46.65
20230410:1810,0.0
20230410:1910,0.0
20230410:2010,0.0
20230410:2110,0.0
20230410:2210,0.0
20230410:2310,0.0
20230411:0010,0.0
20230411:0110,0.0
20230411:0210,0.0
20230411:0310,0.0
20230411:0410,0.0
20230411:0510,0.0
20230411:0610,31.42
20230411:0710,180.05
20230411:0810,372.83
20230411:0910,501.04
20230411:1010,626.2
20230411:1110,720.14
20230411:1210,752.09
20230411:1310,717.53
20230411:1410,646.68
20230411:1510,505.18
20230411:1610,272.17
20230411:1710,121.05
20230411:1810,0.44
20230411:1910,0.0
20230411:2010,0.0
20230411:2110,0.0
20230411:2210,0.0
20230411:2310,0.0
20230412:0010,0.0
20230412:0110,0.0
20230412:0210,0.0
20230412:0310,0.0
20230412:0410,0.0
20230412:0510,0.0
20230412:0610,30.61
20230412:0710,199.41
20230412:0810,396.92
20230412:0910,558.97
20230412:1010,681.45
20230412:1110,759.63
20230412:1210,781.2
20230412:1310,749.43
20230412:1410,659.32
20230412:1510,174.71
20230412:1610,50.16
20230412:1710,22.94
20230412:1810,0.0
20230412:1910,0.0
20230412:2010,0.0
20230412:2110,0.0
20230412:2210,0.0
20230412:2310,0.0
20230413:0010,0.0
20230413:0110,0.0
20230413:0210,0.0
20230413:0310,0.0
20230413:0410,0.0
20230413:0510,0.0
20230413:0610,37.81
20230413:0710,211.27
20230413:0810,413.05
20230413:0910,584.45
20230413:1010,699.87
20230413:1110,778.14
20230413:1210,798.45
20230413:1310,766.52
20230413:1410,545.27
20230413:1510,207.47
20230413:1610,372.94
20230413:1710,157.85
20230413:1810,1.93
20230413:1910,0.0
20230413:2010,0.0
20230413:2110,0.0
20230413:2210,0.0
20230413:2310,0.0
20230414:0010,0.0
20230414:0110,0.0
20230414:0210,0.0
20230414:0310,0.0
20230414:0410,0.0
20230414:0510,0.0
20230414:0610,33.75
20230414:0710,155.18
20230414:0810,194.04
20230414:0910,330.5
20230414:1010,562.33
20230414:1110,766.96
20230414:1210,780.59
20230414:1310,759.63
20230414:1410,491.49
20230414:1510,238.81
20230414:1610,132.96
20230414:1710,167.73
20230414:1810,2.35
20230414:1910,0.0
20230414:2010,0.0
20230414:2110,0.0
20230414:2210,0.0
20230414:2310,0.0
20230415:0010,0.0
20230415:0110,0.0
20230415:0210,0.0
20230415:0310,0.0
20230415:0410,0.0
20230415:0510,0.0
20230415:0610,36.38
20230415:0710,211.59
20230415:0810,408.84
20230415:0910,570.8
20230415:1010,677.62
20230415:1110,729.32
20230415:1210,735.68
20230415:1310,613.94
20230415:1410,630.63
20230415:1510,467.92
20230415:1610,369.55
20230415:1710,154.83
20230415:1810,3.46
20230415:1910,0.0
20230415:2010,0.0
20230415:2110,0.0
20230415:2210,0.0
20230415:2310,0.0
20230416:0010,0.0
20230416:0110,0.0
20230416:0210,0.0
20230416:0310,0.0
20230416:0410,0.0
20230416:0510,0.0
20230416:0610,39.36
20230416:0710,218.4
20230416:0810,416.02
20230416:0910,572.14
20230416:1010,625.7
20230416:1110,730.14
20230416:1210,729.91
20230416:1310,750.67
20230416:1410,686.58
20230416:1510,563.21
20230416:1610,377.48
20230416:1710,176.58
20230416:1810,4.19
20230416:1910,0.0
20230416:2010,0.0
20230416:2110,0.0
20230416:2210,0.0
